customer_id,name,gender,age,age_group,city,membership
C01,Sai Dhar,Male,49,Adult,Noida,Gold
C02,Dhruv Bahl,Male,47,Adult,Faridabad,Silver
C03,Raksha Guha,Female,38,Adult,Noida,Gold
C04,Quincy Kalla,Male,27,Adult,Noida,Gold
C05,Krisha Arora,Female,27,Adult,Faridabad,Gold
C06,Ishita Karnik,Female,38,Adult,Delhi,Silver
C07,Jagrati Arora,Female,26,Adult,Faridabad,None
C08,Faqid Bandi,Male,30,Adult,Faridabad,None
C09,Gaurangi Dhawan,Female,44,Adult,Delhi,Silver
C10,Nilima Khosla,Female,60,Senior,Faridabad,None
C11,Henry Mitter,Male,47,Adult,Faridabad,Gold
C12,Hema Mutti,Female,53,Adult,Faridabad,None
C13,Devika Parekh,Female,46,Adult,Delhi,Silver
C14,Upadhriti Sachar,Female,54,Adult,Delhi,Gold
C15,Sai Dhillon,Male,19,Adult,Delhi,None
C16,Andrew Rau,Male,40,Adult,Faridabad,None
C17,Hredhaan Swamy,Male,35,Adult,Noida,Silver
C18,Manbir Chandra,Male,59,Adult,Noida,Gold
C19,Indira Pandey,Female,23,Adult,Delhi,Gold
C20,Udant Walla,Male,39,Adult,Gurgaon,Silver
C21,Rayaan Nagi,Male,46,Adult,Gurgaon,Gold
C22,Oliver Parmar,Male,31,Adult,Gurgaon,None
C23,Yasti Pandit,Female,56,Adult,Noida,Silver
C24,Nitesh Sant,Male,20,Adult,Noida,None
C25,Turvi Minhas,Female,19,Adult,Noida,Gold
C26,Mekhala Upadhyay,Female,42,Adult,Noida,Gold
C27,Simon Acharya,Male,45,Adult,Noida,Silver
C28,Chandran Balakrishnan,Male,51,Adult,Gurgaon,Gold
C29,Mekhala Tak,Female,29,Adult,Faridabad,Gold
C30,Kashvi Grover,Female,35,Adult,Noida,Gold
C31,Ekansh Pau,Male,40,Adult,Delhi,Silver
C32,Abdul Chaudhari,Male,25,Adult,Faridabad,Gold
C33,Fariq Balay,Male,38,Adult,Gurgaon,Gold
C34,Gaurika Garde,Female,31,Adult,Gurgaon,None
C35,Peter Gade,Male,27,Adult,Delhi,Gold
C36,Ijaya Balakrishnan,Female,27,Adult,Faridabad,None
C37,Kamala Nagy,Female,56,Adult,Delhi,None
C38,Bishakha Murthy,Female,24,Adult,Noida,Gold
C39,Suhani Kunda,Female,31,Adult,Gurgaon,None
C40,Leena Verma,Female,33,Adult,Faridabad,Silver
C41,Benjamin Ray,Male,40,Adult,Delhi,Silver
C42,Chaman Warrior,Female,51,Adult,Gurgaon,Silver
C43,Isaiah Mahal,Male,26,Adult,Noida,Silver
C44,Anthony Kurian,Male,30,Adult,Faridabad,None
C45,Jairaj Bajaj,Male,35,Adult,Delhi,None
C46,Nisha Sachdev,Female,28,Adult,Gurgaon,None
C47,William Jaggi,Male,55,Adult,Gurgaon,None
C48,Isaiah Konda,Male,47,Adult,Gurgaon,Gold
C49,Sai Dutt,Male,51,Adult,Faridabad,Silver
C50,Aryan Wali,Male,28,Adult,Faridabad,Gold
C51,Samaksh Vyas,Male,53,Adult,Noida,Silver
C52,Omisha Lal,Female,31,Adult,Delhi,None
C53,Manthan Deol,Male,47,Adult,Delhi,Silver
C54,Ekaraj Tailor,Male,22,Adult,Gurgaon,None
C55,Zayyan Dugar,Male,39,Adult,Noida,None
C56,Baljiwan Goda,Male,26,Adult,Noida,Silver
C57,Warhi Bandi,Female,49,Adult,Gurgaon,Gold
C58,Gopal Gera,Male,45,Adult,Delhi,Silver
C59,Balvan Chander,Male,43,Adult,Noida,Gold
C60,Wriddhish Garg,Male,53,Adult,Noida,None
C61,Charles Badal,Male,41,Adult,Delhi,Silver
C62,Chasmum Kaur,Female,48,Adult,Gurgaon,Silver
C63,Yahvi Karnik,Female,36,Adult,Delhi,Silver
C64,Ishanvi Samra,Female,18,Teen,Faridabad,None
C65,Gautam Puri,Male,48,Adult,Noida,Gold
